Muestra,Tiempo (s),Voltaje (V),Temperatura (°C)
0,0.000651,-135277392.000000,959687.000
1,0.002479,-135238608.000000,959687.000
2,0.004263,-135177968.000000,961980.000
3,0.006008,-135144864.000000,961980.000
4,0.008034,-135144560.000000,961110.000
5,0.010111,-135102032.000000,961110.000
6,0.011957,-135067936.000000,961035.000
7,0.013916,-135089328.000000,959117.000
8,0.016436,-135035712.000000,959117.000
9,0.018470,-134960432.000000,957874.000
10,0.020815,-134951552.000000,957874.000
11,0.022838,-134965616.000000,956236.000
12,0.024832,-134951104.000000,956236.000
13,0.026742,-134936928.000000,957552.000
14,0.029152,-134917104.000000,957552.000
15,0.032060,-134864752.000000,957773.000
16,0.034068,-134879680.000000,957773.000
17,0.036035,-134926080.000000,961298.000
18,0.038052,-134939440.000000,961298.000
19,0.040414,-134942912.000000,958873.000
20,0.042952,-134944352.000000,958873.000
21,0.045069,-134846240.000000,969361.000
22,0.047082,-134778416.000000,969361.000
23,0.049078,-134831056.000000,978643.000
24,0.051113,-134925536.000000,978643.000
25,0.053535,-135015040.000000,972504.000
26,0.055313,-135051504.000000,972504.000
27,0.056971,-135067136.000000,974230.000
28,0.059391,-135010992.000000,974230.000
29,0.061761,-134930752.000000,974882.000
30,0.064356,-134880576.000000,981257.000
31,0.066318,-134848096.000000,981257.000
32,0.068496,-135032416.000000,969604.000
33,0.070662,-134983728.000000,969604.000
34,0.072802,-134636576.000000,984416.000
35,0.074932,-134352352.000000,984416.000
36,0.077247,-134377296.000000,1009443.000
37,0.079482,-134704624.000000,1009443.000
38,0.081568,-134879760.000000,954468.000
39,0.083486,-134954448.000000,954468.000
40,0.111608,-134924608.000000,959600.000
41,0.164228,-134895104.000000,959600.000
42,0.216018,-134903744.000000,969775.000
43,0.268492,-134713392.000000,969775.000
44,0.320199,-134471392.000000,985301.000
45,0.372303,-134409040.000000,985301.000
46,0.424331,-134424944.000000,998699.000
47,0.476618,-134436064.000000,998699.000
48,0.528686,-134450128.000000,994391.000
49,0.581027,-134486384.000000,994391.000
50,0.632980,-134499968.000000,993457.000
51,0.685322,-134768560.000000,993457.000
52,0.737302,-134735264.000000,996232.000
53,0.789381,-134400576.000000,991735.000
54,0.841361,-134350208.000000,991735.000
55,0.893605,-134342816.000000,998437.000
56,0.945858,-134400144.000000,998437.000
57,0.997840,-134449760.000000,986202.000
58,1.049922,-134485792.000000,986202.000
59,1.102139,-134507888.000000,986132.000
60,1.154243,-134511040.000000,986132.000
61,1.206367,-134594176.000000,988593.000
62,1.258641,-134572784.000000,988593.000
63,1.310692,-134528144.000000,981083.000
64,1.362855,-134660896.000000,981083.000
65,1.414837,-134780688.000000,960826.000
66,1.467037,-134824880.000000,960826.000
67,1.519245,-134840848.000000,961353.000
68,1.571428,-134887056.000000,961353.000
69,1.623730,-134895280.000000,959966.000
70,1.675939,-135052112.000000,959966.000
71,1.727985,-135050800.000000,958424.000
72,1.779869,-134828000.000000,958424.000
73,1.832124,-134811296.000000,958279.000
74,1.884420,-134745504.000000,958279.000
75,1.936571,-133225712.000000,956307.000
76,1.988594,-129693480.000000,958713.000
77,2.040557,-124936248.000000,958713.000
78,2.092899,-120055216.000000,958018.000
79,2.144852,-116157304.000000,958018.000
80,2.197201,-113049152.000000,955750.000
81,2.249178,-109752344.000000,955750.000
82,2.301741,-106241072.000000,958832.000
83,2.353767,-105199624.000000,958832.000
84,2.405762,-107760408.000000,957337.000
85,2.457922,-111803504.000000,957337.000
86,2.510119,-115635688.000000,956627.000
87,2.561787,-119162288.000000,956627.000
88,2.614320,-122348576.000000,955756.000
89,2.666435,-124974608.000000,955756.000
90,2.718605,-127134608.000000,955859.000
91,2.770692,-128497552.000000,955859.000
92,2.822906,-129233368.000000,954879.000
93,2.874902,-129799280.000000,954879.000
94,2.927083,-130410296.000000,954591.000
95,2.979325,-131413904.000000,954591.000
96,3.031400,-132617800.000000,958523.000
97,3.083145,-133515912.000000,958523.000
98,3.135608,-134124744.000000,964980.000
99,3.187545,-134449232.000000,966985.000
100,3.239673,-134710208.000000,966985.000
101,3.291808,-134950752.000000,965448.000
102,3.343928,-135008176.000000,965448.000
103,3.396130,-135033600.000000,963381.000
104,3.448126,-134993264.000000,963381.000
105,3.500359,-134993888.000000,962643.000
106,3.552498,-135121200.000000,962643.000
107,3.604641,-135231216.000000,960849.000
108,3.656803,-135287712.000000,960849.000
109,3.708992,-135297904.000000,959415.000
110,3.760993,-135286448.000000,959415.000
111,3.813181,-135263984.000000,961660.000
112,3.917620,-135136768.000000,965879.000
113,3.969951,-135064208.000000,965879.000
114,4.021668,-134950032.000000,968996.000
115,4.073914,-134905344.000000,968996.000
116,4.126020,-134890304.000000,970722.000
117,4.178031,-134844176.000000,970722.000
118,4.230289,-134788848.000000,971555.000
119,4.282343,-134771360.000000,969803.000
120,4.334362,-134730768.000000,969803.000
121,4.386736,-134713904.000000,971117.000
122,4.438640,-134737248.000000,971117.000
123,4.491034,-134734720.000000,969598.000
124,4.542982,-134709488.000000,969598.000
125,4.595259,-134746384.000000,969612.000
126,4.647258,-134825888.000000,969612.000
127,4.699545,-134816640.000000,967577.000
128,4.960232,-134618480.000000,986259.000
129,5.012397,-134675168.000000,985959.000
130,5.064636,-134763840.000000,985959.000
131,5.116535,-134828512.000000,980009.000
132,5.169060,-134857680.000000,980009.000
133,5.220932,-134819712.000000,980891.000
134,5.272820,-134740000.000000,980891.000
135,5.324936,-134649104.000000,986909.000
136,5.377221,-134559408.000000,986909.000
137,5.429352,-134498176.000000,988056.000
138,5.481649,-134747424.000000,996324.000
139,5.533838,-134704672.000000,996324.000
140,5.585979,-134367872.000000,994479.000
141,5.637991,-134357744.000000,994479.000
142,5.689956,-134390288.000000,995474.000
143,5.742292,-134431008.000000,995474.000
144,5.794212,-134488464.000000,992550.000
145,5.846629,-134558160.000000,992550.000
146,5.898761,-134639760.000000,985949.000
147,5.950809,-134758128.000000,985949.000
148,6.002885,-135004240.000000,968801.000
149,6.054988,-134970112.000000,968801.000
150,6.160213,-134922864.000000,957830.000
151,6.211301,-134910368.000000,953152.000
152,6.263734,-134806624.000000,953152.000
153,6.315860,-134731984.000000,981281.000
154,6.367992,-134835888.000000,981281.000
155,6.419780,-135074480.000000,953190.000
156,6.471893,-135577792.000000,953190.000
157,6.628455,-135358176.000000,918116.000
158,6.680551,-135509008.000000,910272.000
159,6.732849,-135606000.000000,910272.000
160,6.784962,-135647120.000000,908308.000
161,6.837160,-135628592.000000,908308.000
162,6.889144,-135595584.000000,920852.000
163,6.941354,-135611456.000000,920852.000
164,6.993299,-136155824.000000,915495.000
165,7.045799,-136085088.000000,915495.000
166,7.097792,-135468656.000000,915402.000
167,7.149694,-135486112.000000,915402.000
168,7.201956,-135553888.000000,913499.000
169,7.254087,-135519184.000000,913499.000
170,7.306097,-135408720.000000,925524.000
171,7.358270,-135322000.000000,925524.000
172,7.410438,-135268800.000000,939332.000
173,7.462593,-135326400.000000,939332.000
174,7.514896,-135401536.000000,939775.000
175,7.567018,-135229008.000000,939775.000
176,7.618926,-135168032.000000,940142.000
177,7.671293,-135252208.000000,940142.000
178,7.723449,-135217088.000000,929113.000
179,7.775248,-135492784.000000,929113.000
180,7.827523,-136086928.000000,898593.000
181,7.879967,-136068720.000000,879712.000
182,7.931851,-134695392.000000,879712.000
183,7.983819,-132552296.000000,937939.000
184,8.036072,-128224056.000000,937939.000
185,8.088826,-122385072.000000,939762.000
186,8.140259,-117935968.000000,939762.000
187,8.192415,-114591448.000000,940961.000
188,8.244694,-111368960.000000,940961.000
189,8.296932,-108009680.000000,943066.000
190,8.348845,-105520544.000000,943066.000
191,8.401154,-106330464.000000,949689.000
192,8.453219,-110038720.000000,949689.000
193,8.505414,-114109776.000000,952597.000
194,8.558162,-117726248.000000,952597.000
195,8.609370,-120697952.000000,958215.000
196,8.662178,-123188656.000000,958215.000
197,8.713763,-125365640.000000,1003671.000
198,8.766121,-127226520.000000,1003671.000
199,8.818379,-128402896.000000,1009776.000
200,8.870234,-128971232.000000,1009776.000
201,8.922336,-129352816.000000,1007291.000
202,8.974725,-130310152.000000,1010668.000
203,9.026508,-131511784.000000,1010668.000
204,9.078685,-132432192.000000,1014025.000
205,9.130772,-133156752.000000,1014025.000
206,9.183148,-133588544.000000,1014565.000
207,9.235300,-133885840.000000,1014565.000
208,9.287264,-134098688.000000,1016414.000
209,9.339347,-134184592.000000,1016414.000
210,9.391874,-134177656.000000,1025509.000
211,9.443792,-134271040.000000,1025509.000
212,9.495822,-134598224.000000,1018423.000
213,9.547824,-134684816.000000,1018423.000
214,9.600050,-134459664.000000,1013357.000
215,9.652284,-134398096.000000,1013357.000
216,9.704437,-134394096.000000,1023084.000
217,9.756779,-134430400.000000,1023084.000
218,9.809300,-134490016.000000,1013685.000
219,9.860766,-134390160.000000,1013685.000
220,9.913096,-134211864.000000,1027013.000
221,9.965143,-134186176.000000,1027013.000
222,10.017094,-134178976.000000,1030686.000
223,10.069240,-134036688.000000,1030686.000
224,10.121509,-133924576.000000,1030999.000
225,10.173561,-133910400.000000,1030106.000
226,10.225562,-133901152.000000,1030106.000
227,10.278031,-133909552.000000,1030059.000
228,10.330283,-133926912.000000,1030059.000
229,10.381981,-133893240.000000,1029546.000
230,10.434426,-133854680.000000,1029546.000
231,10.486480,-133966920.000000,1026504.000
232,10.538428,-134057072.000000,1026504.000
233,10.590827,-134033616.000000,1021924.000
234,10.642755,-134111168.000000,1021924.000
235,10.695066,-134180680.000000,1020728.000
236,10.747113,-134147096.000000,1020728.000
237,10.799198,-134142720.000000,1022229.000
238,10.851313,-134181248.000000,1022229.000
239,10.903674,-134143328.000000,1021677.000
240,10.955679,-134025360.000000,1021677.000
241,11.007642,-133977856.000000,1010921.000
242,11.059777,-134033680.000000,1010921.000
243,11.112042,-134070256.000000,1016665.000
244,11.164313,-134121912.000000,1016665.000
245,11.216372,-134178336.000000,1015231.000
246,11.268341,-134201552.000000,1015231.000
247,11.320718,-134151464.000000,1009493.000
248,11.372752,-134028768.000000,1031399.000
249,11.425178,-133955576.000000,1031399.000
250,11.477026,-133894360.000000,1031588.000
251,11.528965,-133879392.000000,1031588.000
252,11.581385,-133858576.000000,1032113.000
253,11.633548,-133817624.000000,1032113.000
254,11.685415,-133840048.000000,1032766.000
255,11.737514,-133855656.000000,1032766.000
256,11.789703,-133815784.000000,1035839.000
257,11.841772,-133793824.000000,1035839.000
258,11.893968,-133770000.000000,1043868.000
259,11.945993,-133737680.000000,1043868.000
260,11.998120,-133777480.000000,1041551.000
261,12.050506,-133844000.000000,1041551.000
262,12.102693,-133898104.000000,1035302.000
263,12.154632,-133952368.000000,1035302.000
264,12.206795,-133985184.000000,1030061.000
265,12.259115,-133983712.000000,1030061.000
266,12.311186,-133983536.000000,1030019.000
267,12.363127,-133999696.000000,1030019.000
268,12.415343,-133997088.000000,1027342.000
269,12.467577,-133982872.000000,1027342.000
270,12.519619,-134001680.000000,1022629.000
271,12.571732,-134086856.000000,1023997.000
272,12.624090,-134167208.000000,1023997.000
273,12.675965,-134264080.000000,1022329.000
274,12.728453,-134341888.000000,1022329.000
275,12.780410,-134325296.000000,1023602.000
276,12.832529,-134375520.000000,1023602.000
277,12.884628,-134376880.000000,1023394.000
278,12.936874,-134314320.000000,1023394.000
279,12.988916,-134320224.000000,1016695.000
280,13.041844,-134325648.000000,1016695.000
281,13.093589,-134301472.000000,1018028.000
282,13.145177,-134282944.000000,1018028.000
283,13.197346,-134257936.000000,1016514.000
284,13.249457,-134209040.000000,1016514.000
285,13.302136,-134133336.000000,1018061.000
286,13.354045,-134107624.000000,1018061.000
287,13.406373,-134044072.000000,1018693.000
288,13.458431,-133920816.000000,1018693.000
289,13.510294,-133915024.000000,1019821.000
290,13.562421,-133973224.000000,1019821.000
291,13.614694,-133992896.000000,1020508.000
292,13.666432,-134031056.000000,1020508.000
293,13.718651,-134062752.000000,1020810.000
294,13.770870,-134042304.000000,1021834.000
295,13.822935,-134063088.000000,1021834.000
296,13.875272,-134054912.000000,1022247.000
297,13.927110,-133815264.000000,1022247.000
298,13.979405,-132208960.000000,1022642.000
299,14.031718,-128633792.000000,1022642.000
300,14.083877,-123827696.000000,1021669.000
301,14.135665,-119031072.000000,1021669.000
302,14.187862,-115258288.000000,1021129.000
303,14.240225,-112077168.000000,1021129.000
304,14.292227,-108815768.000000,1022996.000
305,14.344551,-105490632.000000,1022996.000
306,14.396667,-104529912.000000,1020640.000
307,14.448591,-107129536.000000,1020640.000
308,14.500678,-111161536.000000,1010021.000
309,14.553013,-115034016.000000,1010021.000
310,14.605173,-118478680.000000,1008806.000
311,14.657485,-121501288.000000,1008806.000
312,14.709509,-124096424.000000,999522.000
313,14.761504,-126342968.000000,999522.000
314,14.813795,-127766768.000000,998045.000
315,14.865776,-128553088.000000,1000718.000
316,14.918062,-129119336.000000,1000718.000
317,14.970167,-129685536.000000,1002523.000
318,15.022208,-130710240.000000,1002523.000
319,15.074562,-131978824.000000,1006585.000
320,15.126477,-132983112.000000,1006585.000
321,15.178512,-133569736.000000,1007662.000
322,15.230764,-133874872.000000,1007662.000
323,15.283004,-134063280.000000,1010699.000
324,15.334939,-134179944.000000,1010699.000
325,15.387528,-134282192.000000,1006015.000
326,15.439304,-134382688.000000,1006015.000
327,15.491163,-134469760.000000,1004091.000
328,15.543615,-134545120.000000,1004091.000
329,15.648091,-134681952.000000,1004358.000
330,15.699963,-134807696.000000,984290.000
331,15.752093,-134862496.000000,984290.000
332,15.804275,-134860528.000000,977029.000
333,15.856348,-134853568.000000,977029.000
334,15.908354,-134854112.000000,978306.000
335,15.960523,-134856336.000000,978306.000
336,16.012922,-134906208.000000,978817.000
337,16.064795,-134944192.000000,977940.000
338,16.116917,-134956160.000000,977940.000
339,16.168937,-134925744.000000,978451.000
340,16.221092,-134897264.000000,978451.000
341,16.273746,-134805744.000000,978557.000
342,16.325422,-134679856.000000,978557.000
343,16.377801,-134631136.000000,978444.000
344,16.429722,-134668672.000000,978444.000
345,16.482007,-134597632.000000,977785.000
346,16.534136,-134471232.000000,977785.000
347,16.586358,-134499776.000000,978164.000
348,16.638544,-134538928.000000,978164.000
349,16.690370,-134556816.000000,977604.000
350,16.742674,-134562544.000000,977604.000
351,16.794615,-134558496.000000,976427.000
352,16.847037,-134576400.000000,976427.000
353,16.898997,-134579232.000000,976606.000
354,16.951109,-134549632.000000,976606.000
355,17.003238,-134502768.000000,983820.000
356,17.055311,-134513248.000000,983820.000
357,17.107376,-134536096.000000,986165.000
358,17.159589,-134521968.000000,986165.000
359,17.263875,-134404944.000000,980001.000
360,17.315927,-134237824.000000,980001.000
361,17.368169,-134289504.000000,979738.000
362,17.420405,-134360800.000000,979738.000
363,17.472344,-134427840.000000,980574.000
364,17.524659,-134474080.000000,980574.000
365,17.576896,-134493328.000000,981153.000
366,17.629102,-134520944.000000,981153.000
367,17.680866,-134496992.000000,981503.000
368,17.733215,-134551616.000000,981503.000
369,17.785361,-134556704.000000,982964.000
370,17.837257,-134463696.000000,982964.000
371,17.889410,-134460240.000000,982971.000
372,17.941705,-134463952.000000,982971.000
373,17.993696,-134470480.000000,984739.000
374,18.045856,-134474896.000000,984739.000
375,18.097935,-134490448.000000,983304.000
376,18.150155,-134485040.000000,983304.000
377,18.202434,-134455680.000000,984337.000
378,18.254499,-134488384.000000,984337.000
379,18.307067,-134461680.000000,984255.000
380,18.358853,-134397024.000000,984255.000
381,18.410827,-134410080.000000,982883.000
382,18.463148,-134439920.000000,983514.000
383,18.515127,-134457904.000000,983514.000
384,18.567281,-134490304.000000,981262.000
385,18.619483,-134510864.000000,981262.000
386,18.671711,-134488512.000000,980197.000
387,18.723650,-134504880.000000,980197.000
388,18.775828,-134600064.000000,977980.000
389,18.828479,-134987760.000000,977980.000
390,18.880187,-135493904.000000,883676.000
391,18.932455,-135730416.000000,883676.000
392,18.984569,-135848864.000000,880224.000
393,19.036485,-135898208.000000,880224.000
394,19.088809,-135899920.000000,880664.000
395,19.192919,-135872976.000000,882794.000
396,19.244994,-135898976.000000,882794.000
397,19.297104,-135904352.000000,883037.000
398,19.349404,-135859152.000000,883037.000
399,19.401449,-135892384.000000,883812.000
400,19.453605,-135858336.000000,883812.000
401,19.505655,-135843360.000000,889523.000
402,19.557831,-135920848.000000,889523.000
403,19.610134,-135985728.000000,875125.000
404,19.662189,-136035952.000000,872841.000
405,19.714440,-136034096.000000,872841.000
406,19.766425,-136014400.000000,874809.000
407,19.819030,-135979184.000000,874809.000
408,19.870729,-135872448.000000,886273.000
409,19.974899,-134740448.000000,892989.000
410,20.027228,-132175280.000000,892989.000
411,20.079590,-127904792.000000,891737.000
412,20.131632,-122652472.000000,891737.000
413,20.183635,-118327184.000000,891859.000
414,20.235608,-114941456.000000,891859.000
415,20.287978,-111676312.000000,882504.000
416,20.339676,-108297360.000000,882504.000
417,20.391872,-105914720.000000,880754.000
418,20.444384,-107010552.000000,880754.000
419,20.496170,-110845264.000000,880204.000
420,20.548690,-114854632.000000,880204.000
421,20.600756,-118631696.000000,880707.000
422,20.652780,-122003528.000000,880707.000
423,20.704990,-124836240.000000,880375.000
424,20.756824,-127228288.000000,891013.000
425,20.809251,-128960056.000000,891013.000
426,20.861679,-129902816.000000,892358.000
427,20.913592,-130340216.000000,892358.000
428,20.965645,-130319704.000000,956207.000
429,21.017900,-130715952.000000,956207.000
430,21.069736,-131787072.000000,1003237.000
431,21.121891,-132739416.000000,1003237.000
432,21.173932,-133471760.000000,999361.000
433,21.226151,-133883792.000000,999361.000
434,21.278172,-134137888.000000,996623.000
435,21.330547,-134389040.000000,996623.000
436,21.382733,-134541680.000000,995939.000
437,21.434693,-134684352.000000,995939.000
438,21.486836,-134794400.000000,996551.000
439,21.539022,-134908240.000000,996551.000
440,21.591099,-134970064.000000,996801.000
441,21.643485,-134956848.000000,996801.000
442,21.695401,-134972288.000000,996466.000
443,21.747792,-134993408.000000,996466.000
444,21.799622,-135007792.000000,994390.000
445,21.852006,-135008272.000000,994390.000
446,21.904149,-134996848.000000,992600.000
447,21.956272,-134997568.000000,987432.000
448,22.008398,-134980736.000000,987432.000
449,22.060272,-134924032.000000,988249.000
450,22.112459,-134867264.000000,988249.000
451,22.164502,-134819280.000000,989676.000
452,22.216674,-134785824.000000,989676.000
453,22.269169,-134739936.000000,989758.000
454,22.320976,-134709696.000000,989758.000
455,22.373102,-134655216.000000,990179.000
456,22.425137,-134610384.000000,990179.000
457,22.477272,-134580144.000000,991357.000
458,22.529561,-134555280.000000,991357.000
459,22.581643,-134569584.000000,992847.000
460,22.633844,-134573904.000000,992847.000
461,22.686102,-134565712.000000,996585.000
462,22.738352,-134493888.000000,996585.000
463,22.790163,-134418800.000000,1001811.000
464,22.842481,-134418752.000000,1001811.000
465,22.894421,-134385968.000000,990656.000
466,22.946787,-134356608.000000,990656.000
467,22.998734,-134584944.000000,987451.000
468,23.050827,-134524896.000000,987451.000
469,23.155156,-134271680.000000,987453.000
470,23.207217,-134271344.000000,987453.000
471,23.259452,-134282592.000000,986389.000
472,23.311634,-134310224.000000,986389.000
473,23.363860,-134344544.000000,987215.000
474,23.415866,-134383376.000000,987215.000
475,23.468301,-134406192.000000,984746.000
476,23.520034,-134703072.000000,984746.000
477,23.572319,-134640608.000000,983937.000
478,23.624481,-134308448.000000,983937.000
479,23.676733,-134365904.000000,984118.000
480,23.728878,-134417680.000000,984118.000
481,23.780890,-134468864.000000,981489.000
482,23.832768,-134520400.000000,981489.000
483,23.885208,-134526112.000000,981667.000
484,23.937417,-134532192.000000,981667.000
485,23.989399,-134690560.000000,981749.000
486,24.093639,-134530240.000000,981771.000
487,24.145975,-134350208.000000,981771.000
488,24.197921,-134396352.000000,982365.000
489,24.249818,-134427312.000000,982365.000
490,24.302165,-134459936.000000,982328.000
491,24.354535,-134476064.000000,982319.000
492,24.406329,-134453488.000000,982319.000
493,24.458731,-134467056.000000,982447.000
494,24.510614,-134977712.000000,982447.000
495,24.562965,-134870880.000000,984450.000
496,24.614843,-134198784.000000,984450.000
497,24.667231,-134127584.000000,997339.000
498,24.719110,-134123168.000000,997339.000
499,24.771473,-134125152.000000,998431.000
500,24.823316,-134148456.000000,998431.000
501,24.875637,-134181144.000000,999167.000
502,24.927738,-134181264.000000,999167.000
503,24.979842,-134192088.000000,1001907.000
504,25.031997,-134389104.000000,1001907.000
505,25.084344,-134287792.000000,1003788.000
506,25.136523,-134034816.000000,1003788.000
507,25.189276,-134079112.000000,1004845.000
508,25.240694,-134035736.000000,1004845.000
509,25.292909,-133958096.000000,1017287.000
510,25.344655,-133975512.000000,1017287.000
511,25.396959,-134052544.000000,1018365.000
512,25.449089,-134038160.000000,1015883.000
513,25.501392,-134340224.000000,1015883.000
514,25.553479,-134438544.000000,1002269.000
515,25.605434,-134101712.000000,1002269.000
516,25.658106,-134056544.000000,1003001.000
517,25.709762,-134088776.000000,1003001.000
518,25.762048,-134005576.000000,1011668.000
519,25.814202,-133898032.000000,1011668.000
520,25.866358,-133878832.000000,1022935.000
521,25.918630,-133949136.000000,1022935.000
522,25.970553,-133831624.000000,1000966.000
523,26.022604,-132518080.000000,1000966.000
524,26.074554,-128789984.000000,998364.000
525,26.127019,-123542352.000000,998364.000
526,26.179079,-118847136.000000,991725.000
527,26.230910,-115194568.000000,991725.000
528,26.283127,-112006336.000000,984763.000
529,26.335200,-108740936.000000,984763.000
530,26.387430,-105456480.000000,985020.000
531,26.439546,-104766432.000000,985020.000
532,26.491926,-107760048.000000,986517.000
533,26.543977,-111866184.000000,986517.000
534,26.596224,-115538520.000000,986510.000
535,26.648488,-118879936.000000,987212.000
536,26.700376,-121934512.000000,987212.000
537,26.804505,-126632160.000000,985457.000
538,26.856751,-128021696.000000,986364.000
539,26.908825,-128717280.000000,986364.000
540,26.960995,-129171616.000000,985814.000
541,27.012985,-130192112.000000,985814.000
542,27.065153,-131340248.000000,985542.000
543,27.117555,-132245344.000000,985542.000
544,27.169478,-133073968.000000,985876.000
545,27.221502,-133639840.000000,985876.000
546,27.273822,-133992208.000000,988529.000
547,27.326125,-134212144.000000,988529.000
548,27.378820,-134455216.000000,990664.000
549,27.430025,-134583856.000000,990664.000
550,27.482535,-134688688.000000,990601.000
551,27.534397,-134823984.000000,990601.000
552,27.586675,-134850544.000000,989826.000
553,27.638572,-134812784.000000,989826.000
554,27.690698,-134849296.000000,989454.000
555,27.742838,-134865632.000000,989454.000
556,27.795090,-134861056.000000,989342.000
557,27.847140,-134838608.000000,989662.000
558,27.899289,-134820496.000000,989662.000
559,27.951702,-134803440.000000,989031.000
560,28.003801,-134766304.000000,989031.000
561,28.055724,-134584464.000000,988085.000
562,28.108028,-134376800.000000,988085.000
563,28.160131,-134382352.000000,987418.000
564,28.212281,-134450320.000000,987418.000
565,28.368539,-134454816.000000,987349.000
566,28.421013,-134421296.000000,987349.000
567,28.472740,-134371968.000000,988095.000
568,28.525077,-134352400.000000,988095.000
569,28.577001,-134310576.000000,989826.000
570,28.629149,-134248320.000000,989826.000
571,28.681600,-134270608.000000,992011.000
572,28.733615,-134306080.000000,992011.000
573,28.785766,-134330352.000000,986351.000
574,28.837903,-134280592.000000,986351.000
575,28.889854,-134183680.000000,992481.000
576,28.942112,-134077944.000000,992481.000
577,28.994087,-134035544.000000,1007470.000
578,29.046232,-134107856.000000,1007117.000
579,29.098847,-134097520.000000,1007117.000
580,29.150544,-134035160.000000,1005128.000
581,29.202887,-134060912.000000,1005128.000
582,29.254697,-134099120.000000,1004463.000
583,29.307119,-134106376.000000,1004463.000
584,29.411436,-134445920.000000,990305.000
585,29.463511,-134493840.000000,971431.000
586,29.515996,-134524800.000000,971431.000
587,29.567858,-134545376.000000,973387.000
